138.2.89.238,43254,SG,Oracle Cloud
138.2.95.33,17465,SG,Oracle Cloud
138.2.95.61,1111,SG,Oracle Cloud
143.42.66.91,443,SG,M1
146.235.18.248,45137,SG,Oracle Cloud
146.235.19.79,28983,SG,Oracle Cloud
164.52.2.98,443,SG,CDS Global Cloud CO LTD
164.52.2.99,443,SG,CDS Global Cloud CO LTD
164.52.2.100,443,SG,CDS Global Cloud CO LTD
167.99.73.22,443,SG,Digital Ocean
168.138.165.174,443,SG,Oracle Cloud
168.138.171.70,23280,SG,Oracle Cloud
178.128.80.43,443,SG,Digital Ocean
185.81.28.95,30503,SG,Akile
194.36.179.17,2053,SG,Neapol Group Ltd
194.36.179.17,8443,SG,Neapol Group Ltd
194.127.193.240,50791,SG,Leaseweb Asia
213.35.100.31,47112,SG,Oracle Cloud
45.89.52.247,443,TR,Stark Industries Solutions LTD
62.3.12.185,443,TR,PQ HOSTING SRL
94.131.123.74,443,TR,Stark Industries Solutions LTD
185.200.36.36,443,TR,High Speed Telekomunikasyon ve Hab Hiz Sti
188.132.129.199,2053,TR,Ultahost
188.132.129.199,8443,TR,Ultahost
188.132.192.190,2053,TR,TradeZone
188.132.192.194,2053,TR,TradeZone
188.132.192.195,2053,TR,TradeZone
195.16.74.240,81,TR,Stark Industries Solutions
212.115.30.237,443,TR,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET SI
31.41.221.121,443,UA,ON-LINE
82.118.22.141,2053,UA,Green Floid
82.118.22.141,8443,UA,Green Floid
91.218.212.223,443,UA,TOV 'Dream Line Holding'
3.82.153.90,443,US,Amazoncom
3.86.85.68,443,US,Amazoncom
15.204.57.47,7267,US,OVHcloud
18.216.55.100,443,US,Amazoncom
20.121.115.188,443,US,Microsoft Azure
23.94.25.53,443,US,ColoCrossing
23.94.43.51,443,US,ColoCrossing
23.94.56.111,20338,US,ColoCrossing
23.94.94.192,42539,US,ColoCrossing
23.94.103.194,443,US,ColoCrossing
23.94.122.243,29500,US,ColoCrossing
23.94.213.132,27149,US,ColoCrossing
23.95.189.91,443,US,ColoCrossing
23.105.199.91,21626,US,IT7 Networks
23.227.193.153,443,US,Hivelocity
31.220.31.67,443,US,Hostinger International
34.82.76.253,443,US,Google Cloud
34.83.245.149,443,US,Google Cloud
34.105.49.234,443,US,Google Cloud
